"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"11s1/2","8p3/2","4.0308171","0.0213633","4.031(21)","7307.5393","0.3204","7307.5(3)","42180.3338","447.145324","4.218(45)E+04","0.03513455740021399","0.0003877398620055849","0.03513(39)","","","",""
"11s1/2","9p1/2","7.9440123","0.0350173","7.944(35)","15189.3343","0.0711","15189.33(7)","18243.1952","160.832644","1.824(16)E+04","0.015195863406900068","0.00014628343683233016","0.01520(15)","","","",""
"11s1/2","9p3/2","11.1917730","0.0507440","11.192(51)","15229.1956","0.0714","15229.20(7)","35925.6144","325.777082","3.593(33)E+04","0.029924622407274892","0.00029108329386009135","0.02992(29)","","","",""
"11s1/2","10p1/2","59.0261200","0.1110120","59.03(11)","53098.5387","0.8686","53098.5(9)","23576.4318","88.689196","2.3576(89)E+04","0.019638239489873154","0.00010917319944770409","0.01964(11)","","","",""
"11s1/2","10p3/2","83.8925640","0.1599370","83.89(16)","53429.9061","0.8794","53429.9(9)","46744.5533","178.247276","4.674(18)E+04","0.038936372583486444","0.00021580047183129603","0.03894(22)","","","",""
"12s1/2","4p1/2","0.1209802","0.0006356","0.12098(64)","478.7829","0.0000","478.7829","135098.3399","1419.546419","1.351(14)E+05","0.15435316054996315","0.0014936968102406906","0.1544(15)","","","",""
"12s1/2","4p3/2","0.1708852","0.0009136","0.17089(91)","480.1095","0.0000","480.1095","267316.2602","2858.294754","2.673(29)E+05","0.3054153712885468","0.0024012897903743767","0.3054(24)","","","",""
"12s1/2","5p1/2","0.2707763","0.0014726","0.2708(15)","1090.5010","0.0006","1090.5010(6)","57277.0142","622.994938","5.728(62)E+04","0.06544039094199779","0.0007172973283966228","0.06544(72)","","","",""
"12s1/2","5p3/2","0.3815373","0.0021174","0.3815(21)","1092.7362","0.0006","1092.7362(6)","113022.6172","1254.472852","1.130(13)E+05","0.12913110704252273","0.0013463180049837814","0.1291(13)","","","",""
"12s1/2","6p1/2","0.5203521","0.0028596","0.5204(29)","2052.4572","0.0211","2052.46(2)","31725.5829","348.697864","3.173(35)E+04","0.036247255107325335","0.00041227767578629575","0.03625(41)","","","",""
"12s1/2","6p3/2","0.7322625","0.0041237","0.7323(41)","2056.0188","0.0211","2056.02(2)","62501.3887","703.949589","6.250(70)E+04","0.07140936663502567","0.0008017579053721541","0.07141(80)","","","",""
"12s1/2","7p1/2","0.9555737","0.0052537","0.9556(53)","3569.4159","0.0764","3569.42(8)","20341.0897","223.672559","2.034(22)E+04","0.023240192943416154","0.00026763265390747034","0.02324(27)","","","",""
"12s1/2","7p3/2","1.3437998","0.0075821","1.3438(76)","3575.1585","0.0767","3575.16(8)","40033.2234","451.764972","4.003(45)E+04","0.04573893779363922","0.0005275252202201955","0.04574(53)","","","",""
"12s1/2","8p1/2","1.7943715","0.0097622","1.7944(98)","6082.5815","0.2220","6082.6(2)","14494.3327","157.719556","1.449(16)E+04","0.01656012992057347","0.00019012262003977775","0.01656(19)","","","",""
"12s1/2","8p3/2","2.5227912","0.0140477","2.523(14)","6092.4760","0.2227","6092.5(2)","28511.3937","317.536328","2.851(32)E+04","0.03257496532412488","0.00037606599342398123","0.03257(38)","","","",""
"12s1/2","9p1/2","3.7292291","0.0193996","3.729(19)","10737.9575","0.0355","10737.96(4)","11379.1650","118.389803","1.138(12)E+04","0.013000974525403346","0.00014404310915255055","0.01300(14)","","","",""
"12s1/2","9p3/2","5.2444644","0.0280811","5.244(28)","10757.8635","0.0357","10757.86(4)","22380.0733","239.665026","2.238(24)E+04","0.02556978161964811","0.0002871770584278817","0.02557(29)","","","",""
"12s1/2","10p1/2","10.1166750","0.0447920","10.117(45)","21680.3014","0.1448","21680.3(1)","10174.5910","90.097082","1.0175(90)E+04","0.011624719319014862","0.00011265350562577768","0.01162(11)","","","",""
"12s1/2","10p3/2","14.2493080","0.0646920","14.249(65)","21735.3409","0.1455","21735.3(1)","20032.0543","181.891897","2.003(18)E+04","0.022887112456952418","0.00022424242754143627","0.02289(22)","","","",""
"12s1/2","11p1/2","74.2493090","0.1432480","74.25(14)","74084.5557","1.6908","74085(2)","13735.3301","53.007047","1.3735(53)E+04","0.015692950928167766","8.842345161758632e-05","0.015693(88)","","","",""
"12s1/2","11p3/2","105.5202100","0.2063200","105.52(21)","74543.1993","1.7118","74543(2)","27232.3124","106.509312","2.723(11)E+04","0.031113583603678364","0.0001750895769247621","0.03111(18)","","","",""
"4p1/2","4s1/2","4.106","0.002","4.106(2)","770.1084","0.0000","770.1084","37395530.2651","36430.132029","3.7396(36)E+07","1.0","0.0","1.0","St. Falke, I. Sherstov, E. Tiemann, and Ch. Lisdat, The Journal of Chemical Physics 125, 224303 (2006)","https://doi.org/10.1063/1.2375120","",""
"4p3/2","4s1/2","5.807","0.003","5.807(3)","766.7009","0.0000","766.7009","37899463.4684","39159.080802","3.7899(39)E+07","1.0","0.0","1.0","St. Falke, I. Sherstov, E. Tiemann, and Ch. Lisdat, The Journal of Chemical Physics 125, 224303 (2006)","https://doi.org/10.1063/1.2375120","",""
"5p1/2","4s1/2","0.2758298","0.0108746","0.276(11)","404.8356","0.0001","404.8356(1)","1161671.7718","91597.904580","1.162(92)E+06","0.15833426494299113","0.010652388263098129","0.158(11)","","","",""
"5p1/2","5s1/2","9.4875171","0.0256592","9.488(26)","2721.2136","0.0052","2721.214(5)","4525374.9513","24477.967386","4.525(24)E+06","0.6168023824641538","0.010153356611550143","0.617(10)","","","",""
"5p1/2","3d3/2","7.1690089","0.1678035","7.17(17)","3160.1627","0.0071","3160.163(7)","1649784.4565","77232.323949","1.650(77)E+06","0.22486335259285528","0.008661585877438389","0.2249(87)","","","",""
"5p3/2","4s1/2","0.4059320","0.0150522","0.406(15)","404.5285","0.0001","404.5285(1)","1260859.2765","93506.823812","1.261(94)E+06","0.1679013491175765","0.0104972144192953","0.168(10)","","","",""
"5p3/2","5s1/2","13.3967850","0.0365980","13.397(37)","2707.3945","0.0052","2707.395(5)","4580931.9737","25028.846995","4.581(25)E+06","0.610016258718946","0.009629597126879613","0.6100(96)","","","",""
"5p3/2","3d3/2","3.1937767","0.0749682","3.194(75)","3141.5412","0.0070","3141.541(7)","166643.4064","7823.312349","1.666(78)E+05","0.022190940165876756","0.0010784684475023195","0.0222(11)","","","",""
"5p3/2","3d5/2","9.5750630","0.2253396","9.58(23)","3139.2650","0.0070","3139.265(7)","1501089.7343","70653.313441","1.501(71)E+06","0.19989145199760064","0.007959294538879603","0.1999(80)","","","",""
"6p1/2","4s1/2","0.0839268","0.0059994","0.0839(60)","344.8363","0.0006","344.8363(6)","174020.2695","24879.232981","1.74(25)E+05","0.05938845173350555","0.008097148253160706","0.0594(81)","","","",""
"6p1/2","5s1/2","0.8928034","0.0121805","0.893(12)","1254.2772","0.0079","1254.277(8)","409230.8399","11166.259991","4.09(11)E+05","0.13965951243194677","0.004660978333165673","0.1397(47)","","","",""
