"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"11p1/2","9d3/2","17.6581780","0.5473570","17.66(55)","11840.3027","0.7078","11840.3(7)","190300.8255","11797.697904","1.90(12)E+05","0.17234251155160624","0.009978195959786013","0.172(10)","","","",""
"11p3/2","7s1/2","0.1911172","0.0136451","0.191(14)","330.6703","0.0005","330.6703(5)","511706.7644","73068.148505","5.12(73)E+05","0.29072500741262075","0.02956715883657749","0.291(30)","","","",""
"11p3/2","8s1/2","0.6533443","0.0030836","0.6533(31)","952.2340","0.0053","952.234(5)","250415.0501","2363.779866","2.504(24)E+05","0.14227272797547139","0.006156922607256983","0.1423(62)","","","",""
"11p3/2","9s1/2","1.8111325","0.0206176","1.811(21)","2187.8966","0.0307","2187.90(3)","158645.3727","3611.985770","1.586(36)E+05","0.09013399931149596","0.00426014611099211","0.0901(43)","","","",""
"11p3/2","10s1/2","5.8939340","0.0622188","5.894(62)","5178.7095","0.1351","5178.7(1)","126693.1702","2674.869159","1.267(27)E+05","0.07198042980279586","0.0033689647992711587","0.0720(34)","","","",""
"11p3/2","11s1/2","48.1880720","0.3609780","48.19(36)","19131.7624","1.8433","19132(2)","167966.0401","2516.943502","1.680(25)E+05","0.09542951478350772","0.004257812060160365","0.0954(43)","","","",""
"11p3/2","6d3/2","0.0911405","0.0010675","0.0911(11)","713.6877","0.0030","713.688(3)","11574.5845","271.138971","1.157(27)E+04","0.00657607324256945","0.0003188242841886925","0.00658(32)","","","",""
"11p3/2","6d5/2","0.2925155","0.0032065","0.2925(32)","724.0102","0.0031","724.010(3)","114201.2924","2503.706677","1.142(25)E+05","0.06488319853520433","0.003062110956243732","0.0649(31)","","","",""
"11p3/2","7d3/2","0.3477446","0.0124552","0.348(12)","1667.3419","0.0162","1667.34(2)","13214.6018","946.617272","1.321(95)E+04","0.007507845271872603","0.0006219933149661011","0.00751(62)","","","",""
"11p3/2","7d5/2","1.1237476","0.0328898","1.124(33)","1692.4282","0.0167","1692.43(2)","131951.4223","7723.898933","1.320(77)E+05","0.07496789351782587","0.005151404912780316","0.0750(52)","","","",""
"11p3/2","8d3/2","1.1657213","0.0492977","1.166(49)","3786.5263","0.0724","3786.53(7)","12678.6748","1072.348341","1.27(11)E+04","0.0072033595909867364","0.0006780175103050919","0.00720(68)","","","",""
"11p3/2","8d5/2","3.7589751","0.1301352","3.76(13)","3851.7433","0.0749","3851.74(7)","125248.9806","8672.207979","1.252(87)E+05","0.07115991686529013","0.005475551157414377","0.0712(55)","","","",""
"11p3/2","9d3/2","5.5928123","0.2485324","5.59(25)","10809.6071","0.5899","10809.6(6)","12544.0585","1114.863184","1.25(11)E+04","0.00712687766863","0.0006981189431417467","0.00713(70)","","","",""
"11p3/2","9d5/2","18.2772520","0.6982950","18.28(70)","11113.7908","0.6236","11113.8(6)","123265.7623","9418.929540","1.233(94)E+05","0.07003315602172928","0.005787780471997086","0.0700(58)","","","",""
"12p1/2","7s1/2","0.0236376","0.0089960","0.0236(90)","324.2439","0.0005","324.2439(5)","16604.6061","12638.765093","1.7(13)E+04","0.02262404780524787","0.01683788695403209","0.023(17)","","","",""
"12p1/2","8s1/2","0.1421204","0.0058656","0.1421(59)","900.8197","0.0047","900.820(5)","27992.1632","2310.587861","2.80(23)E+04","0.038139780793814915","0.0032019694459019202","0.0381(32)","","","",""
"12p1/2","9s1/2","0.4244101","0.0131869","0.424(13)","1934.2435","0.0240","1934.24(2)","25215.9492","1566.976189","2.52(16)E+04","0.03435714380209994","0.0022661943760449678","0.0344(23)","","","",""
"12p1/2","10s1/2","1.1775290","0.0263416","1.178(26)","3952.0021","0.0787","3952.00(8)","22757.7342","1018.192612","2.28(10)E+04","0.031007785513529774","0.0015907860556956558","0.0310(16)","","","",""
"12p1/2","11s1/2","4.1952466","0.0762620","4.195(76)","8912.0920","0.4000","8912.1(4)","25189.1385","915.792293","2.519(92)E+04","0.034320613697890114","0.0015292810731934712","0.0343(15)","","","",""
"12p1/2","12s1/2","50.5258950","0.2678030","50.53(27)","35527.0076","6.3561","35527(6)","57675.2458","612.176753","5.768(61)E+04","0.078583466923872","0.002290213524102371","0.0786(23)","","","",""
"12p1/2","6d3/2","0.1984763","0.0054545","0.1985(55)","684.4107","0.0027","684.411(3)","124481.3395","6841.960297","1.245(68)E+05","0.16960786364689176","0.00889534447093555","0.1696(89)","","","",""
"12p1/2","7d3/2","0.6614249","0.0200415","0.661(20)","1515.8520","0.0134","1515.85(1)","127241.2624","7710.946490","1.272(77)E+05","0.1733683039103326","0.009735672620367598","0.1734(97)","","","",""
"12p1/2","8d3/2","1.7931804","0.0547827","1.793(55)","3086.1121","0.0481","3086.11(5)","110828.1766","6771.731978","1.108(68)E+05","0.1510052056937046","0.008753409869542065","0.1510(88)","","","",""
"12p1/2","9d3/2","5.2306065","0.1623567","5.23(16)","6559.6009","0.2172","6559.6(2)","98199.4752","6096.181450","9.82(61)E+04","0.13379839321284662","0.008002206839768296","0.1338(80)","","","",""
"12p1/2","10d3/2","25.3850590","0.8929450","25.39(89)","18831.7533","1.7859","18832(2)","97751.0416","6877.038777","9.78(69)E+04","0.13318739499976998","0.008820052216178919","0.1332(88)","","","",""
"12p3/2","7s1/2","0.1454179","0.0108176","0.145(11)","323.6962","0.0005","323.6962(5)","315813.0370","46986.500436","3.16(47)E+05","0.2755488326126415","0.0298354946287854","0.276(30)","","","",""
