"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"9p1/2","5d3/2","0.3381601","0.0207689","0.338(21)","761.1659","0.0001","761.1659(1)","262690.2818","32267.486279","2.63(32)E+05","0.1825885347686959","0.0185845285242792","0.183(19)","","","",""
"9p1/2","6d3/2","1.5606154","0.0229552","1.561(23)","1980.9137","0.0004","1980.9137(4)","317418.6555","9337.865977","3.174(93)E+05","0.22062866896083042","0.007847131635974638","0.2206(78)","","","",""
"9p1/2","7d3/2","9.0241465","0.1900019","9.02(19)","6292.6231","0.0028","6292.623(3)","331096.3770","13942.358038","3.31(14)E+05","0.23013566369338398","0.009595665559175705","0.2301(96)","","","",""
"9p3/2","6s1/2","0.1297439","0.0108899","0.130(11)","361.2498","0.0000","361.2498","180866.6353","30361.652016","1.81(30)E+05","0.10967414404844024","0.016556677766418247","0.110(17)","","","",""
"9p3/2","7s1/2","0.6799406","0.0095881","0.6799(96)","1093.3563","0.0004","1093.3563(4)","179169.5348","5053.074982","1.792(51)E+05","0.10864505405693264","0.004085142130522069","0.1086(41)","","","",""
"9p3/2","8s1/2","2.9415224","0.0506356","2.942(51)","2972.1844","0.0010","2972.184(1)","166926.1535","5746.960106","1.669(57)E+05","0.10122089670357731","0.004218132674879724","0.1012(42)","","","",""
"9p3/2","9s1/2","37.3313500","0.1321190","37.33(13)","12969.9079","0.0203","12969.91(2)","323551.9587","2290.159379","3.236(23)E+05","0.1961958548855205","0.005624010178455841","0.1962(56)","","","",""
"9p3/2","5d3/2","0.1379679","0.0115063","0.138(12)","758.5860","0.0001","758.5860(1)","22087.6237","3684.144281","2.21(37)E+04","0.013393521819821974","0.002235842686317701","0.0134(22)","","","",""
"9p3/2","5d5/2","0.4267260","0.0320451","0.427(32)","764.2434","0.0001","764.2434(1)","206638.0841","31035.081384","2.07(31)E+05","0.12530146850404325","0.01666818081520493","0.125(17)","","","",""
"9p3/2","6d3/2","0.6330913","0.0095122","0.6331(95)","1963.5343","0.0006","1963.5343(6)","26817.8837","805.877679","2.682(81)E+04","0.016261863001311157","0.0006635340505943541","0.01626(66)","","","",""
"9p3/2","6d5/2","1.9659139","0.0274149","1.966(27)","1980.2012","0.0006","1980.2012(6)","252120.6087","7031.702944","2.521(70)E+05","0.15288122054275036","0.005578133267696019","0.1529(56)","","","",""
"9p3/2","7d3/2","3.5644055","0.0860789","3.564(86)","6120.5354","0.0045","6120.535(5)","28068.1177","1355.666575","2.81(14)E+04","0.01701998147272488","0.000939135584417771","0.01702(94)","","","",""
"9p3/2","7d5/2","11.1214780","0.2481340","11.12(25)","6199.9924","0.0046","6199.992(5)","262880.7929","11730.394604","2.63(12)E+05","0.15940599496487765","0.007387252226879452","0.1594(74)","","","",""
"10p1/2","6s1/2","0.0247715","0.0067375","0.0248(67)","348.1068","0.0000","348.1068","14736.8354","8016.424392","1.47(80)E+04","0.01666713172632658","0.00892465695163465","0.0167(89)","","","",""
"10p1/2","7s1/2","0.1908403","0.0019084","0.1908(19)","981.2307","0.0003","981.2307(3)","39053.8781","781.076336","3.905(78)E+04","0.044169329058445665","0.0014279926292868116","0.0442(14)","","","",""
"10p1/2","8s1/2","0.6645493","0.0144060","0.665(14)","2267.7470","0.0003","2267.7470(3)","38362.5876","1663.236835","3.84(17)E+04","0.04338749022560488","0.0021242894652062708","0.0434(21)","","","",""
"10p1/2","9s1/2","2.7352154","0.0537029","2.735(54)","5506.1543","0.0021","5506.154(2)","45402.0263","1782.836172","4.54(18)E+04","0.05134898588587764","0.002332942434397416","0.0513(23)","","","",""
"10p1/2","10s1/2","38.3132560","0.1034440","38.31(10)","23442.0639","0.0389","23442.06(4)","115437.7622","623.353386","1.1544(62)E+05","0.13055831449236963","0.0034594455572839232","0.1306(35)","","","",""
"10p1/2","5d3/2","0.2236487","0.0123141","0.224(12)","702.8614","0.0001","702.8614(1)","145935.4941","16070.419972","1.46(16)E+05","0.16505077511734187","0.015486682226675935","0.165(15)","","","",""
"10p1/2","6d3/2","0.8495324","0.0158014","0.850(16)","1629.1975","0.0003","1629.1975(3)","169073.6821","6289.579726","1.691(63)E+05","0.19121970602727864","0.007492246941801295","0.1912(75)","","","",""
"10p1/2","7d3/2","2.8598683","0.0784280","2.860(78)","3732.7666","0.0010","3732.767(1)","159307.7373","8737.596218","1.593(87)E+05","0.18017457429814665","0.009195571021256642","0.1802(92)","","","",""
"10p1/2","8d3/2","14.2043010","0.4215060","14.20(42)","10922.1303","0.0084","10922.130(8)","156875.4482","9310.411364","1.569(93)E+05","0.17742369316860848","0.009641457960608182","0.1774(96)","","","",""
"10p3/2","6s1/2","0.0860122","0.0083247","0.0860(83)","347.7816","0.0000","347.7816","89085.6171","17244.322013","8.9(17)E+04","0.08960283915633516","0.015896529481544887","0.090(16)","","","",""
"10p3/2","7s1/2","0.3961751","0.0066356","0.3962(66)","978.6509","0.0003","978.6509(3)","84820.0009","2841.327473","8.48(28)E+04","0.0853124571546637","0.003466083315410337","0.0853(35)","","","",""
