"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"4p3/2","3d5/2","14.5725600","0.0072863","14.5726(73)","9093.0336","0.1662","9093.0(2)","143071.3381","143.286631","1.4307(14)E+05","0.015172298579678056","8.763870527827345e-05","0.015172(88)","","","",""
"5p1/2","3s1/2","0.1073506","0.0002184","0.10735(22)","285.3850","0.0002","285.3850(2)","502287.8644","2043.764625","5.023(20)E+05","0.18505586496424534","0.0006277442104645057","0.18506(63)","","","",""
"5p1/2","4s1/2","0.9440671","0.0008566","0.94407(86)","1075.2248","0.0023","1075.225(2)","726348.8583","1318.114893","7.263(13)E+05","0.26760574120003383","0.000432257207393226","0.26761(43)","","","",""
"5p1/2","5s1/2","14.9916290","0.0074958","14.9916(75)","5435.6482","0.0594","5435.65(6)","1417688.9231","1418.447491","1.4177(14)E+06","0.5223133356708829","0.0005310693501661719","0.52231(53)","","","",""
"5p1/2","3d3/2","0.1760970","0.0017054","0.1761(17)","1704.3054","0.0058","1704.305(6)","6345.9839","122.914558","6.35(12)E+03","0.002338024914552304","4.5244104784790656e-05","0.002338(45)","","","",""
"5p1/2","4d3/2","22.6180990","0.0113091","22.618(11)","20341.0792","0.8316","20341.1(8)","61578.2779","62.040023","6.1578(62)E+04","0.022687033250285846","3.246291247673841e-05","0.022687(32)","","","",""
"5p3/2","3s1/2","0.1538535","0.0003071","0.15385(31)","285.3649","0.0002","285.3649(2)","515965.1103","2059.789346","5.160(21)E+05","0.18829260901949002","0.0006245923861388915","0.18829(62)","","","",""
"5p3/2","4s1/2","1.3417441","0.0012050","1.3417(12)","1074.9393","0.0023","1074.939(2)","734167.0675","1318.697281","7.342(13)E+05","0.26792166723675087","0.00042914057268798704","0.26792(43)","","","",""
"5p3/2","5s1/2","21.1887130","0.0105944","21.189(11)","5428.3600","0.0592","5428.36(6)","1421708.4344","1422.475691","1.4217(14)E+06","0.518828085508115","0.0005266493885489275","0.51883(53)","","","",""
"5p3/2","3d3/2","0.0760358","0.0007652","0.07604(77)","1703.5883","0.0058","1703.588(6)","592.3108","11.921655","5.92(12)E+02","0.00021615365521872494","4.355395370973441e-06","0.0002162(44)","","","",""
"5p3/2","3d5/2","0.2280445","0.0022948","0.2280(23)","1703.5737","0.0058","1703.574(6)","5327.9938","107.230665","5.33(11)E+03","0.0019443598617031738","3.910748928002381e-05","0.001944(39)","","","",""
"5p3/2","4d3/2","10.1108970","0.0050554","10.1109(51)","20239.3915","0.8234","20239.4(8)","6245.8900","6.292173","6.2459(63)E+03","0.002279330335641418","3.285971152439304e-06","0.0022793(33)","","","",""
"5p3/2","4d5/2","30.3322930","0.0151661","30.332(15)","20237.9579","0.8232","20238.0(8)","56223.4816","56.640407","5.6223(57)E+04","0.02051779438308089","2.9314705150778586e-05","0.020518(29)","","","",""
"6p1/2","3s1/2","0.0564730","0.0001332","0.05647(13)","268.1230","0.0001","268.1230(1)","167616.5807","790.697497","1.6762(79)E+05","0.15344369438847746","0.0006225334849036535","0.15344(62)","","","",""
"6p1/2","4s1/2","0.3774901","0.0004875","0.37749(49)","865.3273","0.0015","865.327(2)","222795.9204","575.449452","2.2280(58)E+05","0.20395732317402807","0.00045542428980098243","0.20396(46)","","","",""
"6p1/2","5s1/2","1.8157287","0.0010945","1.8157(11)","2441.6167","0.0120","2441.62(1)","229459.8906","276.652098","2.2946(28)E+05","0.2100578187258594","0.0002879457265879549","0.21006(29)","","","",""
"6p1/2","6s1/2","23.4233990","0.0117117","23.423(12)","10826.0023","0.2356","10826.0(2)","438059.1901","438.991606","4.3806(44)E+05","0.4010189218754327","0.00044564375430577953","0.40102(45)","","","",""
"6p1/2","3d3/2","0.0633968","0.0006868","0.06340(69)","1231.0066","0.0030","1231.007(3)","2182.6836","47.291574","2.183(47)E+03","0.0019981259647955624","4.325407067021335e-05","0.001998(43)","","","",""
"6p1/2","4d3/2","0.5860488","0.0036062","0.5860(36)","3639.5982","0.0266","3639.60(3)","7216.7977","88.816007","7.217(89)E+03","0.006606578521977818","8.104667498727312e-05","0.006607(81)","","","",""
"6p1/2","5d3/2","37.5943650","0.0187972","37.594(19)","38528.5188","2.9837","38529(3)","25034.3246","25.701076","2.5034(26)E+04","0.022917537349428876","3.2747241531383676e-05","0.022918(33)","","","",""
"6p3/2","3s1/2","0.0812405","0.0001721","0.08124(17)","268.1137","0.0001","268.1137(1)","173458.4660","734.909415","1.7346(73)E+05","0.15701544827412384","0.000571112977378919","0.15702(57)","","","",""
"6p3/2","4s1/2","0.5377247","0.0006573","0.53772(66)","865.2307","0.0015","865.231(2)","226116.1108","552.797602","2.2612(55)E+05","0.20468140478761002","0.0004316117758138473","0.20468(43)","","","",""
"6p3/2","5s1/2","2.5782044","0.0014827","2.5782(15)","2440.8479","0.0120","2440.85(1)","231536.7129","266.330777","2.3154(27)E+05","0.20958816019829984","0.0002720611608728166","0.20959(27)","","","",""
"6p3/2","6s1/2","33.1030940","0.0165515","33.103(17)","10810.9043","0.2349","10810.9(2)","439297.1848","440.228369","4.3930(44)E+05","0.3976539513636088","0.00042122301838218946","0.39765(42)","","","",""
"6p3/2","3d3/2","0.0272487","0.0003002","0.02725(30)","1230.8112","0.0030","1230.811(3)","201.7087","4.444465","2.017(44)E+02","0.00018258767671910963","4.0262130280108225e-06","0.0001826(40)","","","",""
"6p3/2","3d5/2","0.0817221","0.0009002","0.08172(90)","1230.8036","0.0030","1230.804(3)","1814.3458","39.971419","1.814(40)E+03","0.0016423546401497936","3.615705196363285e-05","0.001642(36)","","","",""
"6p3/2","4d3/2","0.2562256","0.0015749","0.2562(16)","3637.8902","0.0266","3637.89(3)","690.7225","8.491115","6.907(85)E+02","0.0006252453417431224","7.70467798592544e-06","0.0006252(77)","","","",""
"6p3/2","4d5/2","0.7684456","0.0047265","0.7684(47)","3637.8439","0.0266","3637.84(3)","6213.0005","76.429076","6.213(76)E+03","0.005624038340343096","6.900414802312878e-05","0.005624(69)","","","",""
"6p3/2","5d3/2","16.8060450","0.0084030","16.8060(84)","38337.9722","2.9543","38338(3)","2538.9313","2.605884","2.5389(26)E+03","0.0022982529517500128","3.2217270347839883e-06","0.0022983(32)","","","",""
"6p3/2","5d5/2","50.4175520","0.0252088","50.418(25)","38335.0329","2.9538","38335(3)","22855.1095","23.457802","2.2855(23)E+04","0.02068855642565249","2.8714198026606424e-05","0.020689(29)","","","",""
"7p1/2","3s1/2","0.0359190","0.0001306","0.03592(13)","259.4695","0.0001","259.4695(1)","74821.6019","544.096519","7.482(54)E+04","0.1391386654779444","0.000878971398412663","0.13914(88)","","","",""
"7p1/2","4s1/2","0.2150064","0.0003905","0.21501(39)","781.2390","0.0012","781.239(1)","98217.3967","356.770088","9.822(36)E+04","0.18264561525568776","0.0005809444558673051","0.18265(58)","","","",""
"7p1/2","5s1/2","0.7474120","0.0007632","0.74741(76)","1872.8321","0.0070","1872.832(7)","86151.1194","175.944565","8.615(18)E+04","0.16020709901203853","0.0003427331009185855","0.16021(34)","","","",""
"7p1/2","6s1/2","2.9211746","0.0019614","2.9212(20)","4613.4782","0.0428","4613.48(4)","88037.3434","118.249346","8.804(12)E+04","0.16371473168992745","0.0002814544960511059","0.16371(28)","","","",""
"7p1/2","7s1/2","33.6742090","0.0168371","33.674(17)","18934.4452","0.7206","18934.4(7)","169228.8358","170.328214","1.6923(17)E+05","0.3146988809856136","0.0004579498522565155","0.31470(46)","","","",""
"7p1/2","3d3/2","0.0320175","0.0004589","0.03202(46)","1067.5443","0.0023","1067.544(2)","853.6001","24.468937","8.54(24)E+02","0.0015873594937755443","4.5478572696614816e-05","0.001587(45)","","","",""
"7p1/2","4d3/2","0.2405340","0.0016127","0.2405(16)","2505.3765","0.0126","2505.38(1)","3727.1017","49.977971","3.727(50)E+03","0.00693093892446619","9.274519540723753e-05","0.006931(93)","","","",""
